
mid Time 1 taken is 1.339979 core
mid Time 1 taken is 0.047653 maxlab
mid Time 1 taken is 0.000017 sigmalbeforetime
mid Time 1 taken is 0.145414 sigma
mid Time 1 taken is 0.000008 inv
mid Time 1 taken is 0.000032 kseed
mid Time 2 taken is 1.087653 core
mid Time 2 taken is 0.045524 maxlab
mid Time 2 taken is 0.000005 sigmalbeforetime
mid Time 2 taken is 0.140387 sigma
mid Time 2 taken is 0.000009 inv
mid Time 2 taken is 0.000032 kseed
mid Time 3 taken is 1.489395 core
mid Time 3 taken is 0.078278 maxlab
mid Time 3 taken is 0.000011 sigmalbeforetime
mid Time 3 taken is 0.089033 sigma
mid Time 3 taken is 0.000005 inv
mid Time 3 taken is 0.000018 kseed
mid Time 4 taken is 0.957325 core
mid Time 4 taken is 0.056014 maxlab
mid Time 4 taken is 0.000007 sigmalbeforetime
mid Time 4 taken is 0.123620 sigma
mid Time 4 taken is 0.000005 inv
mid Time 4 taken is 0.000019 kseed
mid Time 5 taken is 0.916660 core
mid Time 5 taken is 0.036849 maxlab
mid Time 5 taken is 0.000016 sigmalbeforetime
mid Time 5 taken is 0.084752 sigma
mid Time 5 taken is 0.000004 inv
mid Time 5 taken is 0.000015 kseed
mid Time 6 taken is 1.343161 core
mid Time 6 taken is 0.093018 maxlab
mid Time 6 taken is 0.000011 sigmalbeforetime
mid Time 6 taken is 0.087523 sigma
mid Time 6 taken is 0.000005 inv
mid Time 6 taken is 0.000018 kseed
mid Time 7 taken is 1.126107 core
mid Time 7 taken is 0.020723 maxlab
mid Time 7 taken is 0.000006 sigmalbeforetime
mid Time 7 taken is 0.084716 sigma
mid Time 7 taken is 0.000004 inv
mid Time 7 taken is 0.000018 kseed
mid Time 8 taken is 1.071003 core
mid Time 8 taken is 0.020757 maxlab
mid Time 8 taken is 0.000005 sigmalbeforetime
mid Time 8 taken is 0.094875 sigma
mid Time 8 taken is 0.000005 inv
mid Time 8 taken is 0.000018 kseed
mid Time 9 taken is 0.840965 core
mid Time 9 taken is 0.020769 maxlab
mid Time 9 taken is 0.000005 sigmalbeforetime
mid Time 9 taken is 0.084673 sigma
mid Time 9 taken is 0.000005 inv
mid Time 9 taken is 0.000018 kseed
mid Time 10 taken is 0.987584 core
mid Time 10 taken is 0.021010 maxlab
mid Time 10 taken is 0.000006 sigmalbeforetime
mid Time 10 taken is 0.084701 sigma
mid Time 10 taken is 0.000005 inv
mid Time 10 taken is 0.000018 kseed
end Time 0 0 taken is 0.000001 dxy4
end Time 0 0 taken is 0.000001 threadcount
end Time 0 0 taken is 0.039448 core
end Time 0 0 taken is 0.000034 count
end Time 680 0 taken is 0.000000 dxy4
end Time 680 0 taken is 0.000000 threadcount
end Time 680 0 taken is 0.031824 core
end Time 680 0 taken is 0.000026 count
end Time 690 0 taken is 0.000000 dxy4
end Time 690 0 taken is 0.000000 threadcount
end Time 690 0 taken is 0.030346 core
end Time 690 0 taken is 0.000032 count
end Time 765 0 taken is 0.000000 dxy4
end Time 765 0 taken is 0.000000 threadcount
end Time 765 0 taken is 0.046785 core
end Time 765 0 taken is 0.028005 count
end Time 795 0 taken is 0.000000 dxy4
end Time 795 0 taken is 0.000000 threadcount
end Time 795 0 taken is 0.026393 core
end Time 795 0 taken is 0.000025 count
end Time 850 0 taken is 0.000000 dxy4
end Time 850 0 taken is 0.000000 threadcount
end Time 850 0 taken is 0.035873 core
end Time 850 0 taken is 0.000022 count
end Time 1377 0 taken is 0.000000 dxy4
end Time 1377 0 taken is 0.000000 threadcount
end Time 1377 0 taken is 0.036059 core
end Time 1377 0 taken is 0.000021 count
end Time 1951 0 taken is 0.000000 dxy4
end Time 1951 0 taken is 0.000000 threadcount
end Time 1951 0 taken is 0.032203 core
end Time 1951 0 taken is 0.000021 count
end Time 1356 622 taken is 0.000000 dxy4
end Time 1356 622 taken is 0.000000 threadcount
end Time 1356 622 taken is 0.043583 core
end Time 1356 622 taken is 0.000023 count
end Time 1980 626 taken is 0.000000 dxy4
end Time 1980 626 taken is 0.000000 threadcount
end Time 1980 626 taken is 0.043918 core
end Time 1980 626 taken is 0.029921 count
end Time 801 644 taken is 0.000000 dxy4
end Time 801 644 taken is 0.000000 threadcount
end Time 801 644 taken is 0.037718 core
end Time 801 644 taken is 0.000021 count
end Time 1704 1193 taken is 0.000000 dxy4
end Time 1704 1193 taken is 0.000000 threadcount
end Time 1704 1193 taken is 0.037976 core
end Time 1704 1193 taken is 0.000023 count
end Time 765 1210 taken is 0.000000 dxy4
end Time 765 1210 taken is 0.000000 threadcount
end Time 765 1210 taken is 0.036177 core
end Time 765 1210 taken is 0.000028 count
end Time 850 1224 taken is 0.000000 dxy4
end Time 850 1224 taken is 0.000000 threadcount
end Time 850 1224 taken is 0.047954 core
end Time 850 1224 taken is 0.001205 count
end Time 2558 1246 taken is 0.000000 dxy4
end Time 2558 1246 taken is 0.000000 threadcount
end Time 2558 1246 taken is 0.035805 core
end Time 2558 1246 taken is 0.000021 count
end Time 680 1288 taken is 0.000000 dxy4
end Time 680 1288 taken is 0.000000 threadcount
end Time 680 1288 taken is 0.031286 core
end Time 680 1288 taken is 0.000023 count
end Time 82 1295 taken is 0.000000 dxy4
end Time 82 1295 taken is 0.000000 threadcount
end Time 82 1295 taken is 0.032742 core
end Time 82 1295 taken is 0.000023 count
end Time 762 1334 taken is 0.000000 dxy4
end Time 762 1334 taken is 0.000000 threadcount
end Time 762 1334 taken is 0.025698 core
end Time 762 1334 taken is 0.000028 count
end Time 846 1339 taken is 0.000000 dxy4
end Time 846 1339 taken is 0.000000 threadcount
end Time 846 1339 taken is 0.025758 core
end Time 846 1339 taken is 0.000025 count
end Time 1353 1916 taken is 0.000000 dxy4
end Time 1353 1916 taken is 0.000000 threadcount
end Time 1353 1916 taken is 0.033219 core
end Time 1353 1916 taken is 0.000021 count
end Time 1978 1928 taken is 0.000001 dxy4
end Time 1978 1928 taken is 0.000000 threadcount
end Time 1978 1928 taken is 0.033955 core
end Time 1978 1928 taken is 0.000021 count
end Time 803 1956 taken is 0.000000 dxy4
end Time 803 1956 taken is 0.000000 threadcount
end Time 803 1956 taken is 0.038560 core
end Time 803 1956 taken is 0.000024 count
end Time 1701 2504 taken is 0.000000 dxy4
end Time 1701 2504 taken is 0.000000 threadcount
end Time 1701 2504 taken is 0.039849 core
end Time 1701 2504 taken is 0.000020 count
end Time 765 2525 taken is 0.000000 dxy4
end Time 765 2525 taken is 0.000000 threadcount
end Time 765 2525 taken is 0.036634 core
end Time 765 2525 taken is 0.000027 count
end Time 850 2531 taken is 0.000000 dxy4
end Time 850 2531 taken is 0.000000 threadcount
end Time 850 2531 taken is 0.036311 core
end Time 850 2531 taken is 0.000025 count
end Time 2556 2555 taken is 0.000000 dxy4
end Time 2556 2555 taken is 0.000000 threadcount
end Time 2556 2555 taken is 0.034800 core
end Time 2556 2555 taken is 0.000021 count
end Time 680 2604 taken is 0.000000 dxy4
end Time 680 2604 taken is 0.000000 threadcount
end Time 680 2604 taken is 0.029593 core
end Time 680 2604 taken is 0.000022 count
end Time 76 2613 taken is 0.000000 dxy4
end Time 76 2613 taken is 0.000000 threadcount
end Time 76 2613 taken is 0.032690 core
end Time 76 2613 taken is 0.000024 count
end Time 761 2653 taken is 0.000000 dxy4
end Time 761 2653 taken is 0.000000 threadcount
end Time 761 2653 taken is 0.024540 core
end Time 761 2653 taken is 0.000030 count
end Time 847 2658 taken is 0.000000 dxy4
end Time 847 2658 taken is 0.000000 threadcount
end Time 847 2658 taken is 0.025305 core
end Time 847 2658 taken is 0.000025 count
end Time 1353 3230 taken is 0.000000 dxy4
end Time 1353 3230 taken is 0.000000 threadcount
end Time 1353 3230 taken is 0.033401 core
end Time 1353 3230 taken is 0.000021 count
end Time 1976 3243 taken is 0.000000 dxy4
end Time 1976 3243 taken is 0.000000 threadcount
end Time 1976 3243 taken is 0.032525 core
end Time 1976 3243 taken is 0.000023 count
end Time 802 3274 taken is 0.000000 dxy4
end Time 802 3274 taken is 0.000000 threadcount
end Time 802 3274 taken is 0.038129 core
end Time 802 3274 taken is 0.000024 count
end Time 1700 3822 taken is 0.000000 dxy4
end Time 1700 3822 taken is 0.000000 threadcount
end Time 1700 3822 taken is 0.039656 core
end Time 1700 3822 taken is 0.000020 count
end Time 765 3843 taken is 0.000000 dxy4
end Time 765 3843 taken is 0.000000 threadcount
end Time 765 3843 taken is 0.036750 core
end Time 765 3843 taken is 0.000027 count
end Time 850 3848 taken is 0.000000 dxy4
end Time 850 3848 taken is 0.000000 threadcount
end Time 850 3848 taken is 0.036616 core
end Time 850 3848 taken is 0.000023 count
end Time 2556 3872 taken is 0.000000 dxy4
end Time 2556 3872 taken is 0.000000 threadcount
end Time 2556 3872 taken is 0.035356 core
end Time 2556 3872 taken is 0.000021 count
end Time 680 3922 taken is 0.000000 dxy4
end Time 680 3922 taken is 0.000000 threadcount
end Time 680 3922 taken is 0.028730 core
end Time 680 3922 taken is 0.000024 count
end Time 76 3931 taken is 0.000000 dxy4
end Time 76 3931 taken is 0.000000 threadcount
end Time 76 3931 taken is 0.032243 core
end Time 76 3931 taken is 0.000023 count
end Time 759 3971 taken is 0.000000 dxy4
end Time 759 3971 taken is 0.000000 threadcount
end Time 759 3971 taken is 0.025744 core
end Time 759 3971 taken is 0.000028 count
end Time 845 3976 taken is 0.000000 dxy4
end Time 845 3976 taken is 0.000000 threadcount
end Time 845 3976 taken is 0.026191 core
end Time 845 3976 taken is 0.000026 count
end Time 1355 4548 taken is 0.000000 dxy4
end Time 1355 4548 taken is 0.000000 threadcount
end Time 1355 4548 taken is 0.032996 core
end Time 1355 4548 taken is 0.000023 count
end Time 1977 4561 taken is 0.000000 dxy4
end Time 1977 4561 taken is 0.000000 threadcount
end Time 1977 4561 taken is 0.035572 core
end Time 1977 4561 taken is 0.000024 count
end Time 802 4592 taken is 0.000000 dxy4
end Time 802 4592 taken is 0.000000 threadcount
end Time 802 4592 taken is 0.037826 core
end Time 802 4592 taken is 0.000021 count
end Time 1701 5141 taken is 0.000000 dxy4
end Time 1701 5141 taken is 0.000000 threadcount
end Time 1701 5141 taken is 0.040018 core
end Time 1701 5141 taken is 0.000021 count
end Time 765 5162 taken is 0.000000 dxy4
end Time 765 5162 taken is 0.000000 threadcount
end Time 765 5162 taken is 0.037337 core
end Time 765 5162 taken is 0.000028 count
end Time 850 5167 taken is 0.000000 dxy4
end Time 850 5167 taken is 0.000001 threadcount
end Time 850 5167 taken is 0.046805 core
end Time 850 5167 taken is 0.004243 count
end Time 2557 5191 taken is 0.000000 dxy4
end Time 2557 5191 taken is 0.000000 threadcount
end Time 2557 5191 taken is 0.034972 core
end Time 2557 5191 taken is 0.000022 count
end Time 680 5241 taken is 0.000000 dxy4
end Time 680 5241 taken is 0.000000 threadcount
end Time 680 5241 taken is 0.030388 core
end Time 680 5241 taken is 0.000024 count
end Time 77 5250 taken is 0.000000 dxy4
end Time 77 5250 taken is 0.000000 threadcount
end Time 77 5250 taken is 0.033084 core
end Time 77 5250 taken is 0.000023 count
end Time 761 5290 taken is 0.000000 dxy4
end Time 761 5290 taken is 0.000000 threadcount
end Time 761 5290 taken is 0.026262 core
end Time 761 5290 taken is 0.000028 count
end Time 846 5295 taken is 0.000000 dxy4
end Time 846 5295 taken is 0.000000 threadcount
end Time 846 5295 taken is 0.025338 core
end Time 846 5295 taken is 0.000031 count
end Time 1353 5868 taken is 0.000000 dxy4
end Time 1353 5868 taken is 0.000000 threadcount
end Time 1353 5868 taken is 0.034383 core
end Time 1353 5868 taken is 0.000021 count
end Time 1976 5881 taken is 0.000000 dxy4
end Time 1976 5881 taken is 0.000000 threadcount
end Time 1976 5881 taken is 0.033617 core
end Time 1976 5881 taken is 0.000022 count
end Time 802 5912 taken is 0.000000 dxy4
end Time 802 5912 taken is 0.000000 threadcount
end Time 802 5912 taken is 0.037425 core
end Time 802 5912 taken is 0.000023 count
end Time 1701 6460 taken is 0.000000 dxy4
end Time 1701 6460 taken is 0.000000 threadcount
end Time 1701 6460 taken is 0.039483 core
end Time 1701 6460 taken is 0.000022 count
end Time 765 6481 taken is 0.000000 dxy4
end Time 765 6481 taken is 0.000000 threadcount
end Time 765 6481 taken is 0.037209 core
end Time 765 6481 taken is 0.000025 count
end Time 850 6487 taken is 0.000000 dxy4
end Time 850 6487 taken is 0.000000 threadcount
end Time 850 6487 taken is 0.036418 core
end Time 850 6487 taken is 0.000022 count
end Time 2558 6510 taken is 0.000000 dxy4
end Time 2558 6510 taken is 0.000000 threadcount
end Time 2558 6510 taken is 0.038361 core
end Time 2558 6510 taken is 0.000020 count
end Time 680 6560 taken is 0.000000 dxy4
end Time 680 6560 taken is 0.000000 threadcount
end Time 680 6560 taken is 0.030036 core
end Time 680 6560 taken is 0.000025 count
end Time 82 6569 taken is 0.000000 dxy4
end Time 82 6569 taken is 0.000000 threadcount
end Time 82 6569 taken is 0.031477 core
end Time 82 6569 taken is 0.000027 count
end Time 754 6610 taken is 0.000000 dxy4
end Time 754 6610 taken is 0.000000 threadcount
end Time 754 6610 taken is 0.026165 core
end Time 754 6610 taken is 0.000028 count
end Time 840 6615 taken is 0.000000 dxy4
end Time 840 6615 taken is 0.000000 threadcount
end Time 840 6615 taken is 0.025061 core
end Time 840 6615 taken is 0.000026 count
end Time 1354 7187 taken is 0.000000 dxy4
end Time 1354 7187 taken is 0.000000 threadcount
end Time 1354 7187 taken is 0.034409 core
end Time 1354 7187 taken is 0.000020 count
end Time 1977 7200 taken is 0.000000 dxy4
end Time 1977 7200 taken is 0.000000 threadcount
end Time 1977 7200 taken is 0.033526 core
end Time 1977 7200 taken is 0.000023 count
end Time 802 7231 taken is 0.000000 dxy4
end Time 802 7231 taken is 0.000000 threadcount
end Time 802 7231 taken is 0.038001 core
end Time 802 7231 taken is 0.000022 count
end Time 1700 7780 taken is 0.000000 dxy4
end Time 1700 7780 taken is 0.000000 threadcount
end Time 1700 7780 taken is 0.039708 core
end Time 1700 7780 taken is 0.000020 count
end Time 765 7801 taken is 0.000000 dxy4
end Time 765 7801 taken is 0.000000 threadcount
end Time 765 7801 taken is 0.036704 core
end Time 765 7801 taken is 0.000025 count
end Time 850 7806 taken is 0.000000 dxy4
end Time 850 7806 taken is 0.000000 threadcount
end Time 850 7806 taken is 0.035621 core
end Time 850 7806 taken is 0.000020 count
end Time 2556 7830 taken is 0.000000 dxy4
end Time 2556 7830 taken is 0.000000 threadcount
end Time 2556 7830 taken is 0.034544 core
end Time 2556 7830 taken is 0.000022 count
end Time 680 7880 taken is 0.000000 dxy4
end Time 680 7880 taken is 0.000000 threadcount
end Time 680 7880 taken is 0.029007 core
end Time 680 7880 taken is 0.000024 count
end Time 76 7889 taken is 0.000000 dxy4
end Time 76 7889 taken is 0.000000 threadcount
end Time 76 7889 taken is 0.032783 core
end Time 76 7889 taken is 0.000024 count
end Time 759 7929 taken is 0.000000 dxy4
end Time 759 7929 taken is 0.000000 threadcount
end Time 759 7929 taken is 0.025367 core
end Time 759 7929 taken is 0.000028 count
end Time 845 7934 taken is 0.000000 dxy4
end Time 845 7934 taken is 0.000000 threadcount
end Time 845 7934 taken is 0.026315 core
end Time 845 7934 taken is 0.000024 count
end Time 1353 8507 taken is 0.000000 dxy4
end Time 1353 8507 taken is 0.000000 threadcount
end Time 1353 8507 taken is 0.033048 core
end Time 1353 8507 taken is 0.000022 count
end Time 1977 8519 taken is 0.000000 dxy4
end Time 1977 8519 taken is 0.000000 threadcount
end Time 1977 8519 taken is 0.035035 core
end Time 1977 8519 taken is 0.000021 count
end Time 802 8551 taken is 0.000000 dxy4
end Time 802 8551 taken is 0.000000 threadcount
end Time 802 8551 taken is 0.036105 core
end Time 802 8551 taken is 0.000022 count
end Time 1701 9099 taken is 0.000000 dxy4
end Time 1701 9099 taken is 0.000000 threadcount
end Time 1701 9099 taken is 0.039242 core
end Time 1701 9099 taken is 0.000021 count
end Time 765 9120 taken is 0.000000 dxy4
end Time 765 9120 taken is 0.000000 threadcount
end Time 765 9120 taken is 0.036187 core
end Time 765 9120 taken is 0.000027 count
end Time 850 9126 taken is 0.000000 dxy4
end Time 850 9126 taken is 0.000000 threadcount
end Time 850 9126 taken is 0.036376 core
end Time 850 9126 taken is 0.000022 count
end Time 2558 9149 taken is 0.000000 dxy4
end Time 2558 9149 taken is 0.000000 threadcount
end Time 2558 9149 taken is 0.036449 core
end Time 2558 9149 taken is 0.000021 count
end Time 680 9199 taken is 0.000000 dxy4
end Time 680 9199 taken is 0.000000 threadcount
end Time 680 9199 taken is 0.028629 core
end Time 680 9199 taken is 0.000023 count
end Time 80 9208 taken is 0.000000 dxy4
end Time 80 9208 taken is 0.000000 threadcount
end Time 80 9208 taken is 0.031962 core
end Time 80 9208 taken is 0.000021 count
end Time 764 9248 taken is 0.000000 dxy4
end Time 764 9248 taken is 0.000000 threadcount
end Time 764 9248 taken is 0.026046 core
end Time 764 9248 taken is 0.000028 count
end Time 849 9253 taken is 0.000000 dxy4
end Time 849 9253 taken is 0.000000 threadcount
end Time 849 9253 taken is 0.025996 core
end Time 849 9253 taken is 0.000025 count
end Time 1354 9826 taken is 0.000000 dxy4
end Time 1354 9826 taken is 0.000000 threadcount
end Time 1354 9826 taken is 0.033920 core
end Time 1354 9826 taken is 0.000022 count
end Time 1976 9839 taken is 0.000000 dxy4
end Time 1976 9839 taken is 0.000000 threadcount
end Time 1976 9839 taken is 0.032542 core
end Time 1976 9839 taken is 0.000021 count
end Time 802 9870 taken is 0.000000 dxy4
end Time 802 9870 taken is 0.000000 threadcount
end Time 802 9870 taken is 0.037033 core
end Time 802 9870 taken is 0.000021 count
end Time 1700 10419 taken is 0.000000 dxy4
end Time 1700 10419 taken is 0.000000 threadcount
end Time 1700 10419 taken is 0.040095 core
end Time 1700 10419 taken is 0.000021 count
end Time 765 10439 taken is 0.000000 dxy4
end Time 765 10439 taken is 0.000000 threadcount
end Time 765 10439 taken is 0.036555 core
end Time 765 10439 taken is 0.000025 count
end Time 850 10445 taken is 0.000000 dxy4
end Time 850 10445 taken is 0.000000 threadcount
end Time 850 10445 taken is 0.049285 core
end Time 850 10445 taken is 0.000020 count
end Time 2556 10469 taken is 0.000000 dxy4
end Time 2556 10469 taken is 0.000000 threadcount
end Time 2556 10469 taken is 0.034633 core
end Time 2556 10469 taken is 0.000022 count
end Time 680 10518 taken is 0.000000 dxy4
end Time 680 10518 taken is 0.000000 threadcount
end Time 680 10518 taken is 0.032338 core
end Time 680 10518 taken is 0.000026 count
end Time 84 10527 taken is 0.000000 dxy4
end Time 84 10527 taken is 0.000000 threadcount
end Time 84 10527 taken is 0.032052 core
end Time 84 10527 taken is 0.000115 count
end Time 757 10568 taken is 0.000000 dxy4
end Time 757 10568 taken is 0.000000 threadcount
end Time 757 10568 taken is 0.025679 core
end Time 757 10568 taken is 0.000028 count
end Time 842 10573 taken is 0.000000 dxy4
end Time 842 10573 taken is 0.000000 threadcount
end Time 842 10573 taken is 0.025509 core
end Time 842 10573 taken is 0.000026 count
end Time 1355 11145 taken is 0.000000 dxy4
end Time 1355 11145 taken is 0.000000 threadcount
end Time 1355 11145 taken is 0.033445 core
end Time 1355 11145 taken is 0.000020 count
end Time 1977 11158 taken is 0.000000 dxy4
end Time 1977 11158 taken is 0.000000 threadcount
end Time 1977 11158 taken is 0.033754 core
end Time 1977 11158 taken is 0.000021 count
end Time 802 11189 taken is 0.000000 dxy4
end Time 802 11189 taken is 0.000000 threadcount
end Time 802 11189 taken is 0.038231 core
end Time 802 11189 taken is 0.000021 count
end Time 1701 11738 taken is 0.000000 dxy4
